# Standard Benchmark Positions for Chess Engine Testing
# Format: FEN string | Description
# These positions cover tactical, positional, and endgame scenarios

# Starting position
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 | Starting Position

# Tactical positions
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3 | Italian Game
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4 | Queen's Gambit Declined
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 4 5 | Giuoco Piano
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2 | Sicilian Defense
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2 | Alekhine Defense

# Middlegame positions
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 8 | Closed Position
r2q1rk1/ppp2ppp/2n2n2/3pp3/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w - - 0 10 | Nimzo-Indian
r1bqr1k1/pp3pbp/2n1pnp1/3p4/2pP4/2N1PN1P/PPQ1BPP1/R1B1R1K1 w - - 0 12 | King's Indian Attack
2rq1rk1/pp2bppp/2n1pn2/3p4/3P1B2/2N1PN2/PP2QPPP/2RR2K1 w - - 0 14 | Symmetrical English

# Tactical puzzles
2rr3k/pp3pp1/1nnqbN1p/3pN3/2pP4/2P3Q1/PPB4P/R4RK1 w - - 0 1 | White to move and win
r1bqk2r/ppp2ppp/2n5/3np3/1b1P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 0 8 | Fork tactic
r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R w KQkq - 1 11 | Clearance sacrifice
r1b1k2r/ppppqppp/5n2/4n3/1bB5/1Q6/PPP2PPP/RNB1K1NR w KQkq - 0 8 | Pin and skewer

# Endgame positions
8/k7/3p4/p2P1p2/P2P1P2/8/8/K7 w - - 0 1 | King and Pawn endgame
8/8/p1p5/1p5p/1P5p/8/PPP2K1p/4R1rk w - - 0 1 | Rook endgame
8/pp3p1k/2p2q1p/3r1P2/5R2/7P/P1P1QP2/7K b - - 0 1 | Queen and Rook endgame
8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1 | Lucena position
6k1/5ppp/8/8/8/8/5PPP/4R1K1 w - - 0 1 | Philidor position
8/8/8/4k3/8/8/4P3/4K3 w - - 0 1 | King and Pawn vs King
8/8/8/3k4/3P4/3K4/8/8 w - - 0 1 | Opposition
8/8/4k3/8/2K5/8/8/8 w - - 0 1 | King opposition basic

# Complex middlegame positions
r1bq1rk1/pp1n1pbp/2n1p1p1/2ppP3/3P1P2/2PB1N2/P1BN2PP/R2Q1RK1 w - - 0 12 | Closed center
1r3rk1/p4ppp/2p1b3/q1Pp4/3P4/4BP2/P2Q1P1P/1R3RK1 w - - 0 20 | Isolated queen pawn
r2q1rk1/1p1bbppp/p1np1n2/4p3/P2PP3/2N1BP2/1P1NB1PP/R2Q1RK1 w - - 0 12 | Hedgehog formation

# Attack positions
r2q1rk1/ppp2ppp/2n1b3/3p4/3P4/2PB1Q2/PP3PPP/R1B2RK1 w - - 0 12 | Kingside attack
r1bqk2r/pp3ppp/2n1pn2/2pp4/1b1P4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 0 8 | Queenside castling
2kr1b1r/ppp2ppp/2n5/3q4/3pN3/Q4N2/PP3PPP/2KR1B1R w - - 0 14 | Opposite side castling

# Positional positions
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5 | Caro-Kann
r1bqk2r/pp2bppp/2nppn2/8/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq - 0 8 | Spanish Berlin
rnbqk2r/pp2bppp/4pn2/2pp4/3P4/3BPN2/PP3PPP/RNBQK2R w KQkq - 0 7 | French Defense

# Zugzwang positions
8/8/p1p5/1p5p/1P5p/8/PPP2K1p/4R1rk w - - 0 1 | Zugzwang example
8/8/1k6/1p6/1P6/8/3K4/8 w - - 0 1 | Triangulation
8/8/8/8/8/pk6/p7/K7 w - - 0 1 | Stalemate threat
